Item,Kind,Closed by,Holder,Where,Basis
The number it takes,Data needed,IEBC ECVR ward annex,IEBC,Section 3.1; Section 2.1; Data layer: register.2026.by-ward; Figure fig-2-1-register,Sourced
The number it takes,Data needed,"IEBC Form 37C, Kitui governor 2022",IEBC,Section 3.1; Section 2.1,Sourced
"His largest electorate to date is Kitui Central's 77,764 registered voters: he has not yet stood for a countywide office, so his proof…",Data needed,"IEBC Form 35B, Kitui Central MP 2022, his vote total",IEBC,Section 3.5,Sourced
Kitui listenership by station,Data needed,GeoPoll or KARF county release,Audience-research publishers,Section 3.8.1,Sourced
Handset ownership by ward,Data needed,CA/KNBS,Communications Authority,Section 3.8.1,Sourced
Agent count for Kitui,Data needed,Central Bank of Kenya or Safaricom agent register,Central Bank of Kenya or Safaricom,Section 3.8.1,Sourced
Market-day attendance,Data needed,county trade department,County government or church offices,Section 3.8.1,Sourced
Congregation sizes,Data needed,diocesan and denominational offices,County government or church offices,Section 3.8.1,Sourced
What the audit produces,Data needed,Week 1 export,His team: the Week 1 export,Section 3.9.1; Section 5.6.4; Section 1.3.1; Figure fig-1-5-scorecard; Figure fig-5-6-kpis,Sourced
"CA/KNBS publish countywide connectivity (26.2% internet use, 44.1% phone ownership, 2023/24), but no ward-by-ward coverage figure is…",Data needed,Communications Authority coverage maps by ward,Communications Authority,Section 3.10,Sourced
"The published rounds, and what each one measured",Data needed,not published,To be named,Section C.1,Sourced
"In-county active users per platform are not published: they are , and Section 3.8 sizes what digital can reach from the published rates…",Data needed,"Meta Audience Insights export, Week 1",His team: the Week 1 export,Section 2.6,Sourced
The measurement set,Data needed,"handles and follower counts for X, TikTok, Instagram, YouTube, and any WhatsApp Channel or Business number. Not estimated",To be named,Section 5.3.1,Sourced
Wiper delegate register for Kitui,Data needed,party secretariat,Wiper Patriotic Front secretariat,Section 5.8.14,Sourced
"Give every post a voter, a ward and a reason",Data needed,Week 1 post coding,His team: the Week 1 export,Section 1.3.4,Sourced
His own 2022 vote total there,Data needed,"IEBC Form 35B, Kitui Central MP 2022",IEBC,Section 1.3.5; Data layer: result.2022.mp.mulu; Figure fig-2-2-results; Figure fig-3-5-field,Sourced
The Agro-Pastoralist & Arid-Zone Livestock Keepers,Data needed,"KNBS 2019 Census, Volume IV: households keeping livestock, by sub-county",KNBS,Section 4.3.3,Sourced
"High smartphone and feature-phone social media usage (smartphone adoption by age ); active on WhatsApp groups, TikTok, Facebook Mobile,…",Data needed,CA/KNBS by age band,Communications Authority,Section 4.3.4,Sourced
