Role,Group,Active,Basis
Campaign Manager,Campaign command,Throughout,Sourced
Communications and media lead,Campaign command,Throughout,Sourced
Field operations and logistics lead,Campaign command,Throughout,Sourced
"Data, tech and compliance lead",Campaign command,Throughout,Sourced
Strategy Director,Firefly core,Throughout,Sourced
Analyst,Firefly core,Throughout,Sourced
Offline-layer Operator,Firefly core,Throughout,Sourced
Kikamba Reviewer,Surge,Week 1 onward,Sourced
Data Analyst / Modeller,Surge,Phase 1 onward,Sourced
Earned Media Officer,Surge,Phase −1 onward,Sourced
Volunteer and Ward Champion Coordinator,Surge,Phase 1 onward,Sourced
Crisis Communications Lead,Surge,"Phase 2 onward, or on trigger",Sourced
