Target,Phase 1,Phase 2,Phase 3,Basis
Consented SMS contacts,"40,000","80,000","120,000",Target
USSD unique sessions,"5,000","25,000","60,000",Target
Tracker reports received,500,"3,000","8,000",Target
"Social reach ° (combined in Phase 1, cumulative after)","1,000,000","3,000,000","5,000,000",Target
Engaged followers °,"50,000","150,000","250,000",Target
Email/SMS subscribers,"5,000","15,000",—,Target
Digital volunteer sign-ups,"1,000","5,000",—,Target
Facebook engagement rate,≥ 5%,—,—,Target
Earned media items per month,≥ 8,—,—,Target
Opt-out rate,< 2%,—,—,Target
Positive sentiment,—,≥ 50%,≥ 80%,Target
"Viral content pieces (>100,000 views) °",—,≥ 10,—,Target
Red-team response times meeting target,—,≥ 90%,—,Target
Digital pledges to vote,—,—,"30,000",Target
Voter registration lift in target wards,—,—,≥ 10%,Target
GOTV contact rate,—,—,≥ 70%,Target
"Contact share of the ~200,000 win threshold",—,—,≥ 75%,Target
Misinformation incidents answered within their severity target,—,—,100%,Target
