Level,Content,Basis
Roof: the position,The Economist Governor Kitui needs,Sourced
Pillar,Fiscal accountability and devolution,Sourced
Pillar,Data-driven civic engagement,Sourced
Pillar,"Policy, translated into what it changes",Sourced
Pillar,Verification and follow-through,Sourced
Foundation,PhD in Economics (T1),Sourced
Foundation,Budget and Appropriations Committee (T1),Sourced
Foundation,"Bursaries: 12,573 students, KSh 47m (T1)",Sourced
Foundation,"Best-evaluated constituency, Eastern region, FY2014/15 (T1)",Sourced
Foundation,M&E Champion; Evaluation Society of Kenya (T1),Sourced
